vehicle_id,trip_id,start_time,start_date,route_id,latitude,longitude,current_stop_sequence,current_status,timestamp,occupancy_status,prev_latitude,prev_longitude,prev_timestamp,distance_km,time_diff_hours,speed_kmph,is_stationary,is_stationary_rolling_sum,stuck_flag,route_deviation_flag
4197,12597624-AUG25-AlbRMB-Weekday-10,18:30:00,20250919,106,42.66144943237305,-73.74888610839844,63,2,2025-09-19 23:29:07,0,42.67646789550781,-73.78101348876953,2025-09-19 23:14:07,3.112634363361748,0.25,12.450537453446993,0,0.0,0,0
4200,12598498-AUG25-AlbRMB-Weekday-10,16:50:00,20250919,12,42.66493225097656,-73.7773666381836,16,2,2025-09-19 21:09:41,1,,,,0.0,,0.0,1,1.0,0,1
4200,12598498-AUG25-AlbRMB-Weekday-10,16:50:00,20250919,12,42.68906784057617,-73.8202133178711,26,2,2025-09-19 21:24:50,1,42.66493225097656,-73.7773666381836,2025-09-19 21:09:41,4.412626411346228,0.2525,17.475748163747436,0,0.0,0,0
4200,12598498-AUG25-AlbRMB-Weekday-10,16:50:00,20250919,12,42.696048736572266,-73.84923553466797,27,2,2025-09-19 21:28:55,1,42.68906784057617,-73.8202133178711,2025-09-19 21:24:50,2.4957299873509418,0.06805555555555555,36.671950834544454,0,0.0,0,0
4201,12598068-AUG25-AlbRMB-Weekday-10,16:52:00,20250919,737,42.68360137939453,-73.7844009399414,23,2,2025-09-19 21:09:53,0,,,,0.0,,0.0,1,1.0,0,1
4201,12598068-AUG25-AlbRMB-Weekday-10,16:52:00,20250919,737,42.66994857788086,-73.75486755371094,35,2,2025-09-19 21:24:53,0,42.68360137939453,-73.7844009399414,2025-09-19 21:09:53,2.851965455978048,0.25,11.407861823912192,0,0.0,0,1
4201,12598068-AUG25-AlbRMB-Weekday-10,16:52:00,20250919,737,42.66383361816406,-73.75858306884766,39,1,2025-09-19 21:28:59,0,42.66994857788086,-73.75486755371094,2025-09-19 21:24:53,0.7447303366450491,0.06833333333333333,10.898492731390963,0,0.0,0,1
4201,12597623-AUG25-AlbRMB-Weekday-10,18:00:00,20250919,100,42.645450592041016,-73.77095031738281,15,1,2025-09-19 22:14:12,1,42.66383361816406,-73.75858306884766,2025-09-19 21:28:59,2.2806182852934893,0.7536111111111111,3.026253530061394,0,0.0,0,0
4201,12597623-AUG25-AlbRMB-Weekday-10,18:00:00,20250919,100,42.666534423828125,-73.77163696289062,31,2,2025-09-19 22:29:03,0,42.645450592041016,-73.77095031738281,2025-09-19 22:14:12,2.3450874817320844,0.2475,9.47510093629125,0,0.0,0,0
4201,12597441-AUG25-AlbRMB-Weekday-10,18:55:00,20250919,100,42.653385162353516,-73.75025177001953,6,2,2025-09-19 22:59:06,0,42.666534423828125,-73.77163696289062,2025-09-19 22:29:03,2.2794238605807373,0.5008333333333334,4.551262284021439,0,0.0,0,1
4201,12597441-AUG25-AlbRMB-Weekday-10,18:55:00,20250919,100,42.66255187988281,-73.77658081054688,29,2,2025-09-19 23:13:59,1,42.653385162353516,-73.75025177001953,2025-09-19 22:59:06,2.382122465035069,0.24805555555555556,9.603181270018196,0,0.0,0,1
4201,12597441-AUG25-AlbRMB-Weekday-10,18:55:00,20250919,100,42.64580154418945,-73.75309753417969,54,2,2025-09-19 23:28:59,0,42.66255187988281,-73.77658081054688,2025-09-19 23:13:59,2.675292824302462,0.25,10.701171297209848,0,0.0,0,1
4201,12597429-AUG25-AlbRMB-Weekday-10,19:55:00,20250919,100,42.64580154418945,-73.75309753417969,2,1,2025-09-19 23:44:00,0,42.64580154418945,-73.75309753417969,2025-09-19 23:28:59,0.0,0.25027777777777777,0.0,1,1.0,0,0
4201,12597429-AUG25-AlbRMB-Weekday-10,19:55:00,20250919,100,42.64580154418945,-73.75309753417969,2,1,2025-09-19 23:59:03,0,42.64580154418945,-73.75309753417969,2025-09-19 23:44:00,0.0,0.25083333333333335,0.0,1,1.0,0,1
